127.0.0.1 - - [06/Oct/2016:10:05:34 +0100] "GET / HTTP/1.1" 404 962
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:05:56 +0100] "GET /GestionS/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:05:56 +0100] "GET /GestionS/login HTTP/1.1" 200 2907
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:05:59 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:05:59 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:06:03 +0100] "GET /favicon.ico HTTP/1.1" 404 984
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:08:20 +0100] "GET /GestionS/login HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:08:20 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:08:20 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:08:20 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:08:20 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:08:20 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:08:21 +0100] "GET /GestionS/resources/images/background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:01 +0100] "GET /GestionS/login HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:01 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:01 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:01 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:01 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:01 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:01 +0100] "GET /GestionS/resources/images/background.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:34 +0100] "GET /GestionS/login HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:34 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:34 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:34 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:34 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:34 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:10:11:35 +0100] "GET /GestionS/resources/images/background.png HTTP/1.1" 304 -
