0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/index HTTP/1.1" 200 2705
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/images/iconeinverse.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:48 +0100] "GET /GestionS/resources/images/backgroundAdmin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:56 +0100] "POST /GestionS/admin/redirect HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:48:56 +0100] "GET /GestionS/admin/projets HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:00 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:05 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:05 +0100] "POST /GestionS/projetA/edit HTTP/1.1" 500 11812
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:07 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:19 +0100] "POST /GestionS/projetA/edit HTTP/1.1" 500 11812
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:19 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:19 +0100] "GET /GestionS/admin/projets HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:49:21 +0100] "POST /GestionS/admin/getProjet HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:07 +0100] "POST /GestionS/projetA/edit HTTP/1.1" 500 11812
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:07 +0100] "GET /GestionS/admin/projets? HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:07 +0100] "GET /GestionS/admin/projets HTTP/1.1" 200 9815
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:07 +0100] "GET /GestionS/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:20 +0100] "GET /GestionS/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:20 +0100] "GET /GestionS/login HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [05/Oct/2016:15:51:26 +0100] "POST /GestionS/j_spring_security_check HTTP/1.1" 302 -
